Dataset Name,Number of Nodes,Algorithm,Total Distance,Execution Time,Memory Usage,Precision
bier127,127,Twice Around the Tree,189435.2285537435,0.015075,66.01171875,1.6
ch130,130,Twice Around the Tree,10328.105599922026,0.015261,66.26171875,1.69
pr136,136,Twice Around the Tree,177932.35452113333,0.01576,66.26171875,1.84
pr144,144,Twice Around the Tree,98928.91001854536,0.017215,67.01171875,1.69
ch150,150,Twice Around the Tree,11761.911661719738,0.019515,67.01171875,1.8
kroA150,150,Twice Around the Tree,47114.79534148968,0.023792,67.13671875,1.78
kroB150,150,Twice Around the Tree,45608.43396933002,0.022474,67.13671875,1.75
pr152,152,Twice Around the Tree,118336.89296684194,0.022194,68.01171875,1.61
u159,159,Twice Around the Tree,74309.11476881456,0.023082,68.01171875,1.77
rat195,195,Twice Around the Tree,4329.58663098563,0.033492,70.38671875,1.86
d198,198,Twice Around the Tree,23534.22900884072,0.032994,71.13671875,1.49
kroA200,200,Twice Around the Tree,51865.16786521273,0.033956,71.13671875,1.77
kroB200,200,Twice Around the Tree,52407.30866768744,0.033262,71.13671875,1.78
ts225,225,Twice Around the Tree,224000.0,0.042495,72.09375,1.77
tsp225,225,Twice Around the Tree,7031.400469472143,0.043466,72.97265625,1.79
pr226,226,Twice Around the Tree,137279.9195455958,0.040397,73.42578125,1.71
gil262,262,Twice Around the Tree,4206.217170816099,0.101546,76.09765625,1.77
pr264,264,Twice Around the Tree,82284.48527031398,0.058465,78.890625,1.67
a280,280,Twice Around the Tree,4877.133481924452,0.102816,78.375,1.89
pr299,299,Twice Around the Tree,84986.47217959746,0.122196,83.0546875,1.76
lin318,318,Twice Around the Tree,75837.73219163908,0.133182,84.42578125,1.8
linhp318,318,Twice Around the Tree,75837.73219163908,0.124816,86.4453125,1.83
rd400,400,Twice Around the Tree,27263.48287754133,0.188114,95.4296875,1.78
fl417,417,Twice Around the Tree,20425.59373775439,0.192016,103.5859375,1.72
pr439,439,Twice Around the Tree,184387.8079685624,0.213695,100.3125,1.72
pcb442,442,Twice Around the Tree,92724.78106330859,0.222897,109.2421875,1.83
d493,493,Twice Around the Tree,58569.10196601602,0.313283,107.48046875,1.67
u574,574,Twice Around the Tree,64213.67365816696,0.38849,130.19921875,1.74
rat575,575,Twice Around the Tree,12524.853343776509,0.406506,121.40234375,1.85
p654,654,Twice Around the Tree,58912.78492877277,0.545358,145.0703125,1.7
d657,657,Twice Around the Tree,84981.21231163216,0.591872,140.390625,1.74
u724,724,Twice Around the Tree,75949.21740022718,0.683248,168.72265625,1.81
rat783,783,Twice Around the Tree,16306.502817436709,0.800806,185.66796875,1.85
pr1002,1002,Twice Around the Tree,448428.9365359385,1.402019,253.1953125,1.73
u1060,1060,Twice Around the Tree,390903.63165586925,1.634515,278.0703125,1.74
vm1084,1084,Twice Around the Tree,418471.92735387234,1.747797,287.91796875,1.75
pcb1173,1173,Twice Around the Tree,102919.72636295529,2.079314,320.890625,1.81
d1291,1291,Twice Around the Tree,94579.2086287988,2.591871,376.10546875,1.86
rl1304,1304,Twice Around the Tree,445678.12004308583,2.747486,384.3671875,1.76
rl1323,1323,Twice Around the Tree,479949.87430766475,2.84531,393.7265625,1.78
nrw1379,1379,Twice Around the Tree,104026.38959048288,3.136494,460.15234375,1.84
fl1400,1400,Twice Around the Tree,34039.06182736715,3.01457,485.28515625,1.69
u1432,1432,Twice Around the Tree,291957.16889079695,3.084671,503.140625,1.91
fl1577,1577,Twice Around the Tree,38836.561166785155,4.012143,572.98828125,1.75
d1655,1655,Twice Around the Tree,113900.30718002096,4.472685,630.8828125,1.83
vm1748,1748,Twice Around the Tree,589221.9538036606,5.26014,686.22265625,1.75
u1817,1817,Twice Around the Tree,109810.73737503335,5.453863,744.9296875,1.92
rl1889,1889,Twice Around the Tree,556515.0891141638,6.064929,792.35546875,1.76
d2103,2103,Twice Around the Tree,152601.23946063413,7.812736,937.703125,1.9
u2152,2152,Twice Around the Tree,124479.49457221612,8.196344,1000.7890625,1.94
u2319,2319,Twice Around the Tree,464400.0,8.945087,1128.88671875,1.98
pr2392,2392,Twice Around the Tree,684618.4758045906,10.43625,1217.20703125,1.81
pcb3038,3038,Twice Around the Tree,254817.51311738946,16.049802,1974.37890625,1.85
fl3795,3795,Twice Around the Tree,50123.83470914594,23.94998,2907.37890625,1.74
fnl4461,4461,Twice Around the Tree,337444.4741820016,36.004939,3951.53515625,1.85
rl5915,5915,Twice Around the Tree,1043683.473231669,73.058794,6326.98046875,1.85
rl5934,5934,Twice Around the Tree,1027908.4969323836,73.798557,6380.2578125,1.85
